name
Alg - Outbound
Alg - Inbound
00.0.00 - Fietsenhok
00.0.55 - Parkeerplaats
00.0.56 - Laadkuil
10.0.51 - Ontvangst
10.0.52 - Opslag
20.0.13 - Technische werkplaats
20.0.13a - Doorgeefsluis
20.0.13b - Voorportaal TD
20.0.21 - Chaufeursontvangst
20.0.21a - Chauffeurs toilet
20.0.24 - Trafo 1
20.0.25 - Trafo 2
20.0.26 - Trafo 3
20.0.27 - Chemicalien opslag
20.0.28 - Pompruimte
20.0.29 - Compressorruimte 
20.0.53 - Water opslag
20.0.54 - Container opslag
20.1.16 - Utilities
20.1.17 - Spreekkamer
20.1.18 - Opslag utilities
20.1.20 - Laagspanningsruimte
20.1.21 - MCC ruimte
20.1.22 - Warmtepomp ruimte
20.3.04 - Dak utilities
30.0.01 - Entrée
30.0.02 - Vergaderruimte
30.0.03 - Garderobe
30.0.30 - Voorportaal lift/MAL
30.0.31 - Lift
30.1.01 - Gang
30.1.02 - Pauzeruimte
30.1.03 - Kleedruimte ♂ MHAW ♂
30.1.03a - Toilet ♂
30.1.03b - Douche ♂
30.1.04 - Kleedruimte ♀ MHAW ♀
30.1.04a - Toilet ♀
30.1.04b - Douche ♀ 
40.0.17 - Acculaadruimte
40.0.32 - Voorportaal trappenhuis
40.0.33 - Opslag verpakkingsruimte
40.0.34 - HVAC verpakkingsruimte
40.0.35 - Voorportaal
40.1.05 - Trappenhuis NFA
40.1.06 - Trappenhuis HHA
40.1.07 - Controle kamer
40.1.08 - Laboratorium
30.1.19 - Spreekkamer
30.1.24 - Opslag utilities
30.1.25 - Laagspanningsruimte
30.6.01 - MCC ruimte
40.0.04 - Warmtepomp ruimte
40.0.05 - Gang
40.0.06 - Pauzeruimte
40.0.07 - Kleedruimte ♂ MHAW ♂
40.0.12 - Toilet ♂
40.0.14 - Douche ♂
40.0.15 - Kleedruimte ♀ MHAW ♀
40.0.16 - Toilet ♀
40.0.17 - Douche ♀ 
40.0.32 - Voorportaal
40.0.33 - 
40.0.34 - 
40.0.35 - 
40.1.05 - 
40.1.06 - 
40.1.07 - 
40.1.08 - 
40.1.09 - 
40.1.10 - 
