name
Autogeen lassen
Betreden Besloten Ruimte
Boren
Branden
Elektrisch lassen
Elektrische werkzaamheden
Graven (handmatig)
Graven (machinaal)
Hijsen en heffen
Hogedruk werkzaamheden 
Inspectie werkzaamheden
Monteren/demonteren
Openen van installaties
Slijpen
Sloopwerkzaamheden
Toepassen LoToTo
Werk ATEX ruimtes
Werk op hoogte
